Date,Price,Fees(BTC),MinerRevenuePercentage,Issuance(BTC)
2017-10-23T00:00:00+00:00,5888.25001665693,176.1003639664267,0.07945988892741461,2061.8579521512092
2017-10-24T00:00:00+00:00,5517.77535330216,178.63114549187037,0.0802738893957779,2065.0632081323083
2017-10-25T00:00:00+00:00,5736.01780157802,173.86962730788508,0.07740112721432221,2095.9928071157697
2017-10-26T00:00:00+00:00,5900.31772910579,166.91315745189235,0.0739657980098833,2115.2437062262984
2017-10-27T00:00:00+00:00,5771.94504617183,166.97042071666044,0.07897782006456118,2013.3382429480112
2017-10-28T00:00:00+00:00,5762.38857685564,168.54775735082552,0.08717888454055021,1894.4834625795097
2017-10-29T00:00:00+00:00,6174.72884482758,182.132511958209,0.09201706951392784,1898.2980297570712
2017-10-30T00:00:00+00:00,6119.25638398597,191.73597474717477,0.09595526069391616,1890.6982760374374
2017-10-31T00:00:00+00:00,6428.51463705435,197.5470637675319,0.09912879901897265,1869.9859915327577
2017-11-01T00:00:00+00:00,6726.41183459965,209.56864902783667,0.10310113682099709,1879.987742591163
2017-11-02T00:00:00+00:00,7043.77793892461,218.14544437434608,0.10636301674433404,1879.3642747672677
2017-11-03T00:00:00+00:00,7198.63211075394,225.3963007238071,0.11264011263295008,1830.3812404213593
2017-11-04T00:00:00+00:00,7420.498078609,230.33961166457348,0.11608330017514015,1804.7085853686895
2017-11-05T00:00:00+00:00,7371.13902980713,226.0963328502488,0.11410505141467467,1799.4325121976033
2017-11-06T00:00:00+00:00,6985.26384395091,228.90172201521324,0.11609874337969116,1782.3159481729028
2017-11-07T00:00:00+00:00,7118.20254383402,236.2322988145587,0.11765010893395172,1803.2764546512901
2017-11-08T00:00:00+00:00,7451.21278667446,240.3349283839844,0.11919846106167424,1802.866897819879
2017-11-09T00:00:00+00:00,7117.73804967855,255.62612488346846,0.12422383358183453,1816.571035592394
2017-11-10T00:00:00+00:00,6620.56733635301,264.1074200805483,0.13087028937559145,1776.9996561433447
2017-11-11T00:00:00+00:00,6346.72144915254,271.75685934922575,0.14519344446288532,1679.8746991254266
2017-11-12T00:00:00+00:00,5829.09782758621,311.4778628030249,0.17340441307669174,1594.8903617347482
2017-11-13T00:00:00+00:00,6519.44517212157,369.68865003513184,0.1901693876234828,1614.2790665179048
2017-11-14T00:00:00+00:00,6592.37439713618,401.0640837782476,0.20133620233173566,1612.4941832031666
2017-11-15T00:00:00+00:00,7257.37321215664,424.56191215343557,0.20575112041183455,1648.4324103027707
2017-11-16T00:00:00+00:00,7833.7044333723,434.57213141546816,0.206264997887027,1679.8783590149244
2017-11-17T00:00:00+00:00,7729.03327001753,429.69835147600725,0.2003957296569607,1730.8310641380588
2017-11-18T00:00:00+00:00,7796.15424108708,411.50893166025423,0.19324928663115226,1726.9771811208013
2017-11-19T00:00:00+00:00,8018.32068848626,391.53652348395656,0.18306736469641433,1761.1050334807012
2017-11-20T00:00:00+00:00,8269.87425745178,383.0674623034405,0.1763004023460164,1814.4044042956136
2017-11-21T00:00:00+00:00,8091.99808357686,373.8046316779952,0.1698894561185582,1857.9163537586621
2017-11-22T00:00:00+00:00,8249.59733021625,359.3904919744844,0.16397770820315583,1856.9268095388295
2017-11-23T00:00:00+00:00,8071.66982144945,347.92223722266164,0.15848201472978454,1870.123458346476
2017-11-24T00:00:00+00:00,8232.42233313851,333.2302386148161,0.1524318423327047,1869.1705260531664
2017-11-25T00:00:00+00:00,8760.1654421391,315.7969374066963,0.1446759716050777,1879.2742102965208
2017-11-26T00:00:00+00:00,9319.90331472823,300.18041807461987,0.13793429977498592,1883.4274340094557
2017-11-27T00:00:00+00:00,9730.72857948568,292.7321558765349,0.13340571921299982,1913.624004758274
2017-11-28T00:00:00+00:00,9932.19418001169,286.84057468822834,0.1307124898271489,1918.1710041634897
2017-11-29T00:00:00+00:00,9800.02755172414,287.3184173809459,0.12918406688295345,1948.7121286430536
2017-11-30T00:00:00+00:00,9996.71497194623,285.1829494145773,0.12736308801566798,1966.0606125626718
2017-12-01T00:00:00+00:00,10808.9583325541,279.9623298427616,0.12346492050956157,2006.240535992338
2017-12-02T00:00:00+00:00,10934.8599856809,268.64341316991505,0.11878445375706656,2007.0229689932958
2017-12-03T00:00:00+00:00,11213.9426554646,258.4011853399202,0.1137148124854242,2031.145097869134
2017-12-04T00:00:00+00:00,11562.1285669199,254.8384107449354,0.11103046623456111,2060.064460635492
2017-12-05T00:00:00+00:00,11736.7540672122,250.52426699930774,0.10841423232078996,2080.6814030560554
2017-12-06T00:00:00+00:00,13992.1323372297,251.53309766937966,0.10725393801901836,2114.3462276740484
2017-12-07T00:00:00+00:00,17032.2933763881,266.32176990443804,0.11421438421328958,2087.5529492147925
2017-12-08T00:00:00+00:00,16298.4873386908,313.7845990826182,0.13104401581519975,2070.3588305629437
2017-12-09T00:00:00+00:00,15050.0219541204,344.7903714960265,0.140324160398279,2083.4389767425755
2017-12-10T00:00:00+00:00,15474.9995432496,358.41259734026323,0.14543790314086125,2079.2591046497537
2017-12-11T00:00:00+00:00,16873.4977849211,375.2385816002212,0.15068606082901864,2086.5392165685344
2017-12-12T00:00:00+00:00,17433.9307381648,395.98503635645085,0.15900629227948257,2069.4718144974677
2017-12-13T00:00:00+00:00,16515.15257218,420.65382831565324,0.16454462442829756,2101.412837685284
2017-12-14T00:00:00+00:00,16602.8928033314,449.63331877868126,0.17148464111502773,2127.798732974624
2017-12-15T00:00:00+00:00,17702.0021721216,467.68954021258463,0.17748601147931245,2125.8863913527957
2017-12-16T00:00:00+00:00,19640.5138834015,475.7295437060048,0.18021165081563714,2127.338092433696
2017-12-17T00:00:00+00:00,19250.467650789,482.8095091252372,0.18107683468877364,2150.483330879484
2017-12-18T00:00:00+00:00,18982.0250242548,496.41231953207455,0.18424044904418532,2166.0479145195486
2017-12-19T00:00:00+00:00,17653.3260894214,518.5618685705816,0.1959524239059862,2114.041925204605
2017-12-20T00:00:00+00:00,16453.6272603741,568.8397242593106,0.21537578566824236,2062.2866845540293
2017-12-21T00:00:00+00:00,15633.8336504968,640.0107606819031,0.23948156977083435,2010.7508489847755
2017-12-22T00:00:00+00:00,14305.7183436587,746.978030071439,0.2640045905504183,2001.5944928616786
2017-12-23T00:00:00+00:00,14910.8581049094,785.4904119198716,0.2782308726427488,1968.5826812539688
2017-12-24T00:00:00+00:00,14026.3468661601,795.2011700898004,0.28250021064540554,1960.0098460972226
2017-12-25T00:00:00+00:00,14080.9422600818,782.5129710060736,0.2836029825790791,1925.9461153350699
2017-12-26T00:00:00+00:00,15727.1454792519,774.9581457252847,0.28429862816294615,1907.0778509181862
2017-12-27T00:00:00+00:00,15389.0005739334,777.6918723358651,0.28502257858945695,1912.443119553413
2017-12-28T00:00:00+00:00,14289.4522095266,777.3419402826432,0.28612101338414797,1906.2002296092364
2017-12-29T00:00:00+00:00,14571.7460821157,779.3512584922886,0.2850827637863338,1925.737700908082
2017-12-30T00:00:00+00:00,12948.7158828171,777.5413211782882,0.28618658504848954,1914.7079882945718
2017-12-31T00:00:00+00:00,13921.4806414378,748.313604128491,0.2767438184102747,1930.0569897577504
2018-01-01T00:00:00+00:00,13464.6536116306,714.4275498149186,0.2667275251962892,1932.5498660380317
2018-01-02T00:00:00+00:00,14754.322204851,706.3588732993375,0.2625303760233547,1958.1686327832779
2018-01-03T00:00:00+00:00,15010.2861595558,711.8165700581234,0.2642769727350676,1958.7100536853682
2018-01-04T00:00:00+00:00,15070.3007986558,719.9667322346269,0.2650020418743286,1976.371296974697
2018-01-05T00:00:00+00:00,16997.2274079486,718.010107855287,0.2672081662835736,1952.76238485286
2018-01-06T00:00:00+00:00,17103.589279661,713.7845877721007,0.2645253269189549,1971.1670867462524
2018-01-07T00:00:00+00:00,16231.6949994155,711.5464660780704,0.2634290842225644,1977.8962009029708
2018-01-08T00:00:00+00:00,14937.4150894214,709.6492335883247,0.2619095061461886,1990.0341757900994
2018-01-09T00:00:00+00:00,14378.5862174167,713.814600707237,0.26242267849330714,1997.529903816337
2018-01-10T00:00:00+00:00,14669.0882656341,714.4644523438051,0.26178743324333553,2007.213665839295
2018-01-11T00:00:00+00:00,13186.7549427236,711.8974634720539,0.2569870889154149,2057.874457609383
2018-01-12T00:00:00+00:00,13789.4436639392,700.9217353505232,0.25224487010298224,2078.7651504082105
2018-01-13T00:00:00+00:00,14231.2250645821,679.1554998641737,0.24827430235905645,2051.7320066071843
2018-01-14T00:00:00+00:00,13681.0654611338,655.7512624311412,0.24255064818983538,2037.4530057812863
2018-01-15T00:00:00+00:00,13591.6961966686,637.385334389731,0.23891289097111512,2017.1463800586255
2018-01-16T00:00:00+00:00,11431.0401052016,634.4607288785063,0.23855056735456726,2013.4405825512972
2018-01-17T00:00:00+00:00,11159.6085905903,639.4479245324586,0.23925278617994677,2022.6980097323851
2018-01-18T00:00:00+00:00,11246.0397302747,640.8300993446334,0.23825234201709106,2040.173258515837
2018-01-19T00:00:00+00:00,11440.2555616598,621.958263130306,0.23246115968761538,2042.9641012013574
2018-01-20T00:00:00+00:00,12768.4045856224,596.9307911315071,0.22332135366263484,2065.7185885511876
2018-01-21T00:00:00+00:00,11422.3942589129,565.3461126663113,0.2114522798986931,2099.691264982289
2018-01-22T00:00:00+00:00,10737.3505774401,534.0550049517724,0.2014107027163127,2098.1673568595024
2018-01-23T00:00:00+00:00,10849.3918793103,503.52646545777594,0.1907122251354818,2112.4589372520645
2018-01-24T00:00:00+00:00,11225.8961747516,475.28856959679536,0.18087972992422724,2123.4015700955565
2018-01-25T00:00:00+00:00,11130.4649473992,443.9382990709383,0.17102765143648427,2104.851373833612
2018-01-26T00:00:00+00:00,11035.5546098773,413.9781378670659,0.1615703074708775,2083.9324521044105
2018-01-27T00:00:00+00:00,11320.9701852718,383.21195828368093,0.15122268260940855,2068.753395591359
2018-01-28T00:00:00+00:00,11615.95871128,354.5556573094713,0.14135955671660433,2057.0342211424395
2018-01-29T00:00:00+00:00,11132.5543138515,328.2915465195394,0.1327424396317205,2031.1549434996346
2018-01-30T00:00:00+00:00,9959.54671537113,307.5898609883494,0.12518658963021748,2038.1980755621803
2018-01-31T00:00:00+00:00,10050.0957971946,289.9413615673057,0.12230774801834209,1966.2358161169077
2018-02-01T00:00:00+00:00,9039.86507510228,280.37990911764444,0.11907341259182685,1970.4563391022944
2018-02-02T00:00:00+00:00,8786.0773798948,279.47050023668487,0.11857464457130795,1986.6492967145075
2018-02-03T00:00:00+00:00,9132.10032232613,262.3426645921006,0.11216198316958592,1985.193134625194
2018-02-04T00:00:00+00:00,8250.52689596727,243.4936833243363,0.10410944276770577,2015.168992797045
