Date,hash-rate,market-price
2010-03-06T00:00:00,3.281304626383943e-05,0
2010-03-10T00:00:00,3.225786426891313e-05,0
2010-03-14T00:00:00,3.215699754351375e-05,0
2010-03-18T00:00:00,2.992491497488779e-05,0
2010-03-22T00:00:00,3.365748501476627e-05,0
2010-03-26T00:00:00,4.036906605316363e-05,0
2010-03-30T00:00:00,4.27935475017676e-05,0
2010-04-03T00:00:00,4.626985768574903e-05,0
2010-04-07T00:00:00,4.906230400788289e-05,0
2010-04-11T00:00:00,5.54026735154342e-05,0
2010-04-15T00:00:00,6.909629973343362e-05,0
2010-04-19T00:00:00,8.135442541261119e-05,0
2010-04-23T00:00:00,8.771246358593417e-05,0
2010-04-27T00:00:00,8.984578932482146e-05,0
2010-05-01T00:00:00,9.305558638205025e-05,0
2010-05-05T00:00:00,9.164743883699296e-05,0
2010-05-09T00:00:00,9.128756644995741e-05,0
2010-05-13T00:00:00,8.622940843783983e-05,0
2010-05-17T00:00:00,7.527964228700304e-05,0
2010-05-21T00:00:00,8.80284334807102e-05,0
2010-05-25T00:00:00,0.0001112930602828545,0
2010-05-29T00:00:00,0.00012097261185830104,0
2010-06-02T00:00:00,0.0001273691844300969,0
2010-06-06T00:00:00,0.00011778380113991104,0
2010-06-10T00:00:00,0.00012462895190756118,0
2010-06-14T00:00:00,0.00013249744261282291,0
2010-06-18T00:00:00,0.00013536161915508063,0
2010-06-22T00:00:00,0.00013911019252776282,0
2010-06-26T00:00:00,0.00014748884487770126,0
2010-06-30T00:00:00,0.00015615369737098626,0
2010-07-04T00:00:00,0.0001722531531414153,0
2010-07-08T00:00:00,0.0001839630601014567,0
2010-07-12T00:00:00,0.00019798927829751367,0
2010-07-16T00:00:00,0.0008051616205265382,0
2010-07-20T00:00:00,0.0020750055368120583,0
2010-07-24T00:00:00,0.0016592308952327556,0
2010-07-28T00:00:00,0.0019047134581419468,0
2010-08-01T00:00:00,0.0021424543545585837,0
2010-08-05T00:00:00,0.0025615199902460427,0
2010-08-09T00:00:00,0.002892421959144732,0
2010-08-13T00:00:00,0.0033161419996685475,0
2010-08-17T00:00:00,0.004221992663151155,0
2010-08-21T00:00:00,0.0041489626631502656,0.030000000000000002
2010-08-25T00:00:00,0.004524756924231334,0.07
2010-08-29T00:00:00,0.005418291540839471,0.07
2010-09-02T00:00:00,0.005249309735002596,0.06714285714285714
2010-09-06T00:00:00,0.0050998602007426815,0.06285714285714286
2010-09-10T00:00:00,0.00516848189200017,0.06
2010-09-14T00:00:00,0.005644936680612474,0.06
2010-09-18T00:00:00,0.006571161869090463,0.07714285714285714
2010-09-22T00:00:00,0.008104692096660834,0.07714285714285714
2010-09-26T00:00:00,0.009327179013800525,0.06
2010-09-30T00:00:00,0.010202540714949835,0.06
2010-10-04T00:00:00,0.009551749283206373,0.06
2010-10-08T00:00:00,0.009252118060100649,0.06
2010-10-12T00:00:00,0.010235389716285417,0.0842857142857143
2010-10-16T00:00:00,0.011497532356296775,0.11000000000000001
2010-10-20T00:00:00,0.01537384003262443,0.10571428571428573
2010-10-24T00:00:00,0.018528018405170016,0.1042857142857143
2010-10-28T00:00:00,0.021564086472219055,0.14000000000000004
2010-11-01T00:00:00,0.02465964315385044,0.1842857142857143
2010-11-05T00:00:00,0.027668030688423002,0.20714285714285716
2010-11-09T00:00:00,0.03271424298927175,0.2828571428571429
2010-11-13T00:00:00,0.04254216692981109,0.32
2010-11-17T00:00:00,0.04687248551095611,0.28
2010-11-21T00:00:00,0.05084660636450538,0.2871428571428572
2010-11-25T00:00:00,0.052604858198255965,0.2857142857142857
2010-11-29T00:00:00,0.05817671033545869,0.2842857142857143
2010-12-03T00:00:00,0.07052938374776765,0.2714285714285714
2010-12-07T00:00:00,0.08427217848460254,0.2514285714285714
